timestamp,robot,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
0.98,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
0.988,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
0.992,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
0.996,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
0.996,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.0,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.004,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.004,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.008,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.012,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.016,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.016,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.02,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.024,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.028,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.028,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.036,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.04,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.048,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.052,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.056,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.056,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.06,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.064,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.064,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.068,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.072,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.076,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.076,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.08,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.084,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.088,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.096,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.1,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.104,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.108,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.112,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.116,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.116,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
1.12,robot_1,0.0,2.8,0.0,0.0,0.0,0.0
